Case ID, Side Force, Pitching Moment, Normal Force, Yawing Moment , Rolling Moment, Axial Force, Dynamic Pressure, Static Pressure, Air Speed
3,-0.136457,-0.017882,0.072823,-0.07702,0.088867,0.1018,0.107635,-0.003052,116.897735
3,-0.140526,-0.016926,0.065164,-0.084618,0.086905,0.108105,0.107587,-0.003123,116.871267
4,-0.345097,-0.048673,0.16605,-0.169442,0.260534,0.212752,0.243911,0.00873,175.97237
4,-0.339401,-0.061305,0.162218,-0.172307,0.22559,0.217376,0.243971,0.008704,175.993988
4,-0.351458,-0.043612,0.158956,-0.165343,0.17018,0.216478,0.243807,0.008719,175.934752
4,-0.355565,-0.062786,0.16172,-0.180084,0.207424,0.215255,0.243876,0.00883,175.95972
4,-0.352541,-0.032847,0.172603,-0.165379,0.19898,0.215302,0.243386,0.008671,175.78259
4,-0.349823,-0.044033,0.176969,-0.174141,0.198409,0.215315,0.243846,0.008847,175.948747
4,-0.355311,-0.041333,0.17259,-0.174291,0.207244,0.217747,0.244114,0.009137,176.045547
4,-0.348781,-0.083057,0.164489,-0.177259,0.241113,0.215778,0.244538,0.009183,176.19816
4,-0.349714,-0.059562,0.163584,-0.180282,0.245948,0.217363,0.244091,0.008915,176.037016
4,-0.368433,-0.046664,0.175044,-0.188137,0.217634,0.216668,0.244092,0.008855,176.037548
4,-0.357489,-0.052955,0.180446,-0.173547,0.231266,0.206531,0.244081,0.008863,176.033551
4,-0.348194,-0.040991,0.18159,-0.166544,0.218462,0.208611,0.243753,0.00878,175.915107
4,-0.357197,-0.060629,0.183795,-0.178132,0.202127,0.211563,0.243886,0.008806,175.96301
4,-0.350181,-0.042791,0.167849,-0.169681,0.259003,0.217346,0.244103,0.008831,176.041374
4,-0.360294,-0.084156,0.161328,-0.191756,0.236905,0.21938,0.243943,0.008907,175.983805
4,-0.361382,-0.049053,0.178011,-0.176876,0.237241,0.21301,0.24401,0.0092,176.007938
4,-0.349447,-0.045597,0.178805,-0.167021,0.221876,0.212988,0.244205,0.008941,176.078227
